open_time,volume,open,high,low,close
1639159200,817.353,47706.0,48154.0,47651.0,48034.5
1639160100,1295.346,48034.5,48357.5,47939.0,48019.0
1639161000,433.575,48019.0,48039.0,47818.5,47937.5
1639161900,235.282,47937.5,47938.0,47705.0,47800.0
1639162800,340.149,47800.0,47829.5,47657.0,47722.5
1639163700,295.536,47722.5,48022.5,47716.0,47987.5
1639164600,569.858,47987.5,48166.0,47987.0,48099.0
1639165500,182.028,48099.0,48188.0,48079.5,48094.5
1639166400,299.37,48094.5,48373.0,48081.5,48202.5
1639167300,316.427,48202.5,48343.5,48124.5,48310.5
1639168200,176.69,48310.5,48362.0,48187.0,48199.0
1639169100,288.182,48199.0,48480.0,48199.0,48405.5
1639170000,398.615,48405.5,48550.0,48285.0,48322.0
1639170900,292.935,48322.0,48357.0,48142.5,48275.0
1639171800,158.83,48275.0,48354.5,48179.0,48225.5
1639172700,534.671,48225.5,48271.5,47724.5,47920.0
1639173600,196.284,47920.0,48000.0,47775.0,47920.0
1639174500,145.095,47920.0,48066.0,47842.0,47862.5
1639175400,268.593,47862.5,47955.0,47701.5,47955.0
1639176300,432.655,47955.0,47955.0,47463.0,47514.5
1639177200,427.709,47514.5,47699.0,47350.0,47556.5
1639178100,207.812,47556.5,47800.0,47523.5,47638.0
1639179000,319.872,47638.0,47709.5,47360.0,47513.5
1639179900,1678.033,47513.5,47595.0,46750.0,47181.0
1639180800,1120.104,47181.0,47330.0,46837.0,47000.0
1639181700,1996.832,47000.0,48286.5,46750.0,48215.0
1639182600,1299.344,48215.0,48475.0,47791.5,47887.0
1639183500,581.716,47887.0,48050.0,47658.0,47756.5
1639184400,482.776,47756.5,48055.0,47666.0,47949.0
1639185300,263.373,47949.0,48039.5,47891.0,48029.5
1639186200,322.527,48029.5,48217.0,47982.0,48069.5
1639187100,192.125,48069.5,48070.0,47869.0,47915.5
1639188000,291.866,47915.5,48220.0,47905.5,48107.5
1639188900,194.703,48107.5,48130.5,47942.0,48075.5
1639189800,243.475,48075.5,48192.5,47928.0,48122.0
1639190700,207.122,48122.0,48245.5,48102.0,48220.0
1639191600,383.553,48220.0,48390.0,48170.5,48343.0
1639192500,583.772,48343.0,48684.0,48342.5,48423.5
1639193400,241.698,48423.5,48551.0,48354.0,48364.5
1639194300,225.77,48364.5,48379.0,48292.5,48301.0
1639195200,219.422,48301.0,48473.5,48270.5,48439.0
